family,scheme,snr_db,frames,negative_trials,positive_trials,fp,fn,fer,noiseless_fp,mean_iterations,fp_lo95,fp_hi95,fp_events,fn_lo95,fn_hi95,fn_events,fer_lo95,fer_hi95,fer_events
exact,conventional,-5.5,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-4.9,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-4.8,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-4.7,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-4.6,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-4.5,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-4.4,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-4.3,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-4.2,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-4.1,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-4.0,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-3.9,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-3.8,2500,675000,675000,0.0,0.9999985185185185,1.0,0.0,50.0,0.0,0.0011975752431599984,0,0.9999955555555555,1.0,674999,1.0,1.0,2500
exact,conventional,-3.7,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-3.6,2500,675000,675000,0.0,1.0,1.0,0.0,50.0,0.0,0.0011975752431599984,0,1.0,1.0,675000,1.0,1.0,2500
exact,conventional,-3.0,2500,675000,675000,0.0,0.9999985185185185,1.0,0.0,50.0,0.0,0.0011975752431599984,0,0.9999955555555555,1.0,674999,1.0,1.0,2500
exact,conventional,0.0,2500,675000,675000,0.0,0.9992192592592593,1.0,0.0,50.0,0.0,0.0011975752431599984,0,0.9991540740740741,0.9992844814814814,674473,1.0,1.0,2500
exact,conventional,1.1,2500,675000,675000,0.0,0.9891644444444444,1.0,0.0,50.0,0.0,0.0011975752431599984,0,0.9889184814814815,0.9894192592592592,667686,1.0,1.0,2500
exact,conventional,1.2,2500,675000,675000,0.0,0.9849259259259259,1.0,0.0,50.0,0.0,0.0011975752431599984,0,0.9846222222222222,0.985234074074074,664825,1.0,1.0,2500
exact,conventional,1.3,2500,675000,675000,0.0,0.9799333333333333,1.0,0.0,50.0,0.0,0.0011975752431599984,0,0.9795688888888889,0.9802889259259259,661455,1.0,1.0,2500
exact,conventional,1.4,2500,675000,675000,0.0,0.9718251851851852,1.0,0.0,50.0,0.0,0.0011975752431599984,0,0.9714058518518518,0.9722548148148148,655982,1.0,1.0,2500
exact,conventional,1.5,2500,675000,675000,0.0,0.9579540740740741,1.0,0.0,50.0,0.0,0.0011975752431599984,0,0.9573584814814815,0.9584903703703703,646619,1.0,1.0,2500
exact,conventional,1.6,2500,675000,675000,0.0,0.935197037037037,1.0,0.0,50.0,0.0,0.0011975752431599984,0,0.9344266666666666,0.9359942592592593,631258,1.0,1.0,2500
exact,conventional,1.7,2500,675000,675000,0.0,0.8910444444444444,1.0,0.0,50.0,0.0,0.0011975752431599984,0,0.889754037037037,0.8923513333333333,601455,1.0,1.0,2500
exact,conventional,1.8,2500,675000,675000,0.0,0.8015881481481482,0.9996,0.0,49.9944,0.0,0.0011975752431599984,0,0.7987954444444445,0.8043778148148147,541072,0.9988,1.0,2499
exact,conventional,1.9,2500,675000,675000,0.0,0.508962962962963,0.8596,0.0,48.8752,0.0,0.0011975752431599984,0,0.49821481481481483,0.5193615185185185,343550,0.84599,0.8728,2149
exact,conventional,2.0,2500,675000,675000,0.0,0.05781925925925926,0.1632,0.0,36.5904,0.0,0.0011975752431599984,0,0.05156577777777778,0.0644307037037037,39028,0.1492,0.17720999999999995,408
exact,conventional,2.1,10000,2700000,2700000,0.0,0.00022851851851851852,0.001,0.0,23.6846,0.0,0.00029952835977664627,0,5.9250000000000004e-05,0.00044593518518518517,617,0.0005,0.0017,10
exact,conventional,2.2,10000,2700000,2700000,0.0,0.0,0.0,0.0,18.0759,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
exact,conventional,2.3,10000,2700000,2700000,0.0,0.0,0.0,0.0,14.9073,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
exact,conventional,2.4,2500,675000,675000,0.0,0.0,0.0,0.0,12.8392,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,conventional,2.5,2500,675000,675000,0.0,0.0,0.0,0.0,11.224,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,conventional,2.6,2500,675000,675000,0.0,0.0,0.0,0.0,10.0576,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,conventional,2.7,2500,675000,675000,0.0,0.0,0.0,0.0,9.1212,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,conventional,2.8,2500,675000,675000,0.0,0.0,0.0,0.0,8.3228,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,conventional,2.9,2500,675000,675000,0.0,0.0,0.0,0.0,7.6604,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,conventional,3.5,2500,675000,675000,0.0,0.0,0.0,0.0,5.142,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,-5.5,2500,675000,675000,1.4814814814814815e-06,0.998557037037037,1.0,1.4814814814814815e-06,50.0,0.0,4.444444444444444e-06,1,0.9984651851851852,0.9986474074074074,674026,1.0,1.0,2500
id,bfc,-4.9,2500,675000,675000,0.0,0.8054429629629629,1.0,1.4814814814814815e-06,50.0,0.0,0.0011975752431599984,0,0.8011717407407407,0.8095595185185186,543674,1.0,1.0,2500
id,bfc,-4.8,2500,675000,675000,1.4814814814814815e-06,0.6070888888888889,1.0,1.4814814814814815e-06,50.0,0.0,4.444444444444444e-06,1,0.6022171111111111,0.6118418148148148,409785,1.0,1.0,2500
id,bfc,-4.7,2500,675000,675000,2.962962962962963e-06,0.3831659259259259,1.0,1.4814814814814815e-06,50.0,0.0,7.4074074074074075e-06,2,0.3777536296296296,0.38843059259259255,258637,1.0,1.0,2500
id,bfc,-4.6,2500,675000,675000,1.4814814814814815e-06,0.14069777777777778,0.9632,1.4814814814814815e-06,49.9924,0.0,4.444444444444444e-06,1,0.13577822222222222,0.14547270370370372,94971,0.9556,0.9704,2408
id,bfc,-4.5,2500,675000,675000,1.4814814814814815e-06,0.019776296296296295,0.5512,1.4814814814814815e-06,49.472,0.0,4.444444444444444e-06,1,0.018073814814814817,0.021540925925925925,13349,0.532,0.5704,1378
id,bfc,-4.4,10000,2700000,2700000,1.4814814814814815e-06,0.0008474074074074074,0.0927,1.4814814814814815e-06,46.6319,3.7037037037037036e-07,3.3333333333333333e-06,4,0.0007466481481481481,0.0009555555555555555,2288,0.0869,0.0985,927
id,bfc,-4.3,10000,2700000,2700000,1.4814814814814815e-06,1.1111111111111112e-05,0.0033,1.4814814814814815e-06,41.9394,3.7037037037037036e-07,2.962962962962963e-06,4,5.925925925925926e-06,1.7416666666666615e-05,30,0.0022,0.0045,33
id,bfc,-4.2,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,37.8588,0.0,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
id,bfc,-4.1,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,34.478,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,-4.0,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,31.612,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,-3.9,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,29.2848,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,-3.8,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,27.3356,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,-3.7,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,25.5676,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,-3.6,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,23.996,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,-3.0,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,17.4984,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,0.0,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,6.2744,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,1.1,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,4.6448,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,1.2,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,4.5272,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,1.3,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,4.4148,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,1.4,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,4.3252,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,1.5,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,4.2176,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,1.6,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,4.1332,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,1.7,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,4.0436,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,1.8,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.954,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,1.9,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.824,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,2.0,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.7072,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,2.1,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.5972,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,2.2,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.4764,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,2.3,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.3792,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,2.4,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.306,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,2.5,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.2212,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,2.6,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.184,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,2.7,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.1344,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,2.8,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.0724,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,2.9,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,3.0296,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
id,bfc,3.5,2500,675000,675000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,2.5412,0.0,4.444444444444444e-06,1,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
rank,bfc,-5.5,2500,675000,675000,2.2222222222222223e-05,0.9971659259259259,1.0,1.7777777777777777e-05,50.0,1.1851851851851852e-05,3.4074074074074077e-05,15,0.9970325925925926,0.9972918888888889,673087,1.0,1.0,2500
rank,bfc,-4.9,2500,675000,675000,1.925925925925926e-05,0.7986696296296296,1.0,1.7777777777777777e-05,50.0,8.888888888888888e-06,2.962962962962963e-05,13,0.7943568888888889,0.8029535925925926,539102,1.0,1.0,2500
