source_file,function_type,function_label,n,E2,ldpc_code_rate,ebno_db,false_positive_count,negative_trials,false_negative_count,positive_trials,fpr,fnr,max_fpr_fnr,fp_plus_fn_over_trials,max_ci95_lower,max_ci95_upper,channel_uses_per_bfc_decision,parallel_bfc_rate,frames,stopping_mode
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p1p0.mat,id,Identification,40,0.1,0.6,1,0,243000,241365,243000,0,0.993271604938272,0.993271604938272,0.496635802469136,0.992912990140287,0.993630219736256,66.6666666666667,0.30482892142331,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.6,1.5,0,243000,19651,243000,0,0.0808683127572016,0.0808683127572016,0.0404341563786008,0.0542598281437511,0.107476797370652,66.6666666666667,0.30482892142331,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.6,2,3,729000,1,729000,4.11522633744856e-06,1.37174211248285e-06,4.11522633744856e-06,2.74348422496571e-06,0,9.43708184426712e-06,66.6666666666667,0.30482892142331,1500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.6,2.5,3,729000,0,729000,4.11522633744856e-06,0,4.11522633744856e-06,2.05761316872428e-06,0,0.00245623148419849,66.6666666666667,0.30482892142331,1500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p1p0.mat,id,Identification,40,0.1,0.666666666666667,1,0,270000,258300,270000,0,0.956666666666667,0.956666666666667,0.478333333333333,0.95557324023526,0.957760093098074,60,0.338698801581456,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.666666666666667,1.5,1,270000,184932,270000,3.7037037037037e-06,0.684933333333333,0.684933333333333,0.342468518518519,0.678819886977963,0.691046779688703,60,0.338698801581456,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.666666666666667,2,3,810000,6,810000,3.7037037037037e-06,7.40740740740741e-06,7.40740740740741e-06,5.55555555555556e-06,0,1.61503557133039e-05,60,0.338698801581456,1500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.666666666666667,2.5,3,810000,2,810000,3.7037037037037e-06,2.46913580246914e-06,3.7037037037037e-06,3.08641975308642e-06,0,8.49337365984039e-06,60,0.338698801581456,1500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p1p0.mat,exact-threshold,Exact threshold,42,0.1,0.333333333333333,1,914,128500,24196,128500,0.00711284046692607,0.188295719844358,0.188295719844358,0.097704280155642,0.184013739710613,0.192577699978103,126.070038910506,0.0586365919029056,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p1p5.mat,exact-threshold,Exact threshold,42,0.1,0.333333333333333,1.5,869,128500,4678,128500,0.00676264591439689,0.0364046692607004,0.0364046692607004,0.0215836575875486,0.0347324297406199,0.0380769087807809,126.070038910506,0.0586365919029056,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p2p0.mat,exact-threshold,Exact threshold,42,0.1,0.333333333333333,2,875,128500,652,128500,0.00680933852140078,0.00507392996108949,0.00680933852140078,0.00594163424124514,0.00628852110824592,0.00733015593455564,126.070038910506,0.0586365919029056,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p2p5.mat,exact-threshold,Exact threshold,42,0.1,0.333333333333333,2.5,872,128500,85,128500,0.00678599221789883,0.00066147859922179,0.00678599221789883,0.00372373540856031,0.006266498799002,0.00730548563679567,126.070038910506,0.0586365919029056,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p1p0.mat,exact-threshold,Exact threshold,42,0.1,0.4,1,1035,154250,7490,154250,0.00670988654781199,0.0485575364667747,0.0485575364667747,0.0276337115072934,0.046465265846005,0.0506498070875445,105.024311183144,0.0703867260780015,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p1p5.mat,exact-threshold,Exact threshold,42,0.1,0.4,1.5,1043,154250,736,154250,0.00676175040518639,0.00477147487844408,0.00676175040518639,0.00576661264181523,0.00630462900784243,0.00721887180253034,105.024311183144,0.0703867260780015,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p2p0.mat,exact-threshold,Exact threshold,42,0.1,0.4,2,1042,154250,94,154250,0.00675526742301459,0.000609400324149109,0.00675526742301459,0.00368233387358185,0.00629787698798261,0.00721265785804656,105.024311183144,0.0703867260780015,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p2p5.mat,exact-threshold,Exact threshold,42,0.1,0.4,2.5,1042,154250,6,154250,0.00675526742301459,3.88978930307942e-05,0.00675526742301459,0.00339708265802269,0.00629787698798261,0.00721265785804656,105.024311183144,0.0703867260780015,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p0.mat,exact-threshold,Exact threshold,42,0.1,0.5,1,1314,192750,850,192750,0.00681712062256809,0.00440985732814527,0.00681712062256809,0.00561348897535668,0.00639760134451195,0.00723663990062424,84.0466926070039,0.0879548878543584,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p5.mat,exact-threshold,Exact threshold,42,0.1,0.5,1.5,1316,192750,32,192750,0.00682749675745785,0.000166018158236057,0.00682749675745785,0.00349675745784695,0.00640676905952322,0.00724822445539248,84.0466926070039,0.0879548878543584,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p0.mat,exact-threshold,Exact threshold,42,0.1,0.5,2,1316,192750,4,192750,0.00682749675745785,2.07522697795071e-05,0.00682749675745785,0.00342412451361868,0.00640676905952322,0.00724822445539248,84.0466926070039,0.0879548878543584,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p5.mat,exact-threshold,Exact threshold,42,0.1,0.5,2.5,1316,192750,1,192750,0.00682749675745785,5.18806744487678e-06,0.00682749675745785,0.00341634241245136,0.00640676905952322,0.00724822445539248,84.0466926070039,0.0879548878543584,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p6/points/result_n_42_awgn_ebno_p1p0.mat,exact-threshold,Exact threshold,42,0.1,0.6,1,1598,231250,227537,231250,0.00691027027027027,0.983943783783784,0.983943783783784,0.495427027027027,0.983353238894927,0.984534328672641,70.054054054054,0.105523049630715,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p6/points/result_n_42_awgn_ebno_p1p5.mat,exact-threshold,Exact threshold,42,0.1,0.6,1.5,1575,231250,20157,231250,0.00681081081081081,0.0871654054054054,0.0871654054054054,0.0469881081081081,0.0597669455000562,0.114563865310755,70.054054054054,0.105523049630715,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p6/points/result_n_42_awgn_ebno_p2p0.mat,exact-threshold,Exact threshold,42,0.1,0.6,2,1570,231250,0,231250,0.00678918918918919,0,0.00678918918918919,0.00339459459459459,0.00640744037106837,0.00735061005190774,70.054054054054,0.105523049630715,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p6/points/result_n_42_awgn_ebno_p2p5.mat,exact-threshold,Exact threshold,42,0.1,0.6,2.5,1570,231250,0,231250,0.00678918918918919,0,0.00678918918918919,0.00339459459459459,0.00640744037106837,0.00735061005190774,70.054054054054,0.105523049630715,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p6667/points/result_n_42_awgn_ebno_p1p0.mat,exact-threshold,Exact threshold,42,0.1,0.666666666666667,1,1708,257000,243311,257000,0.00664591439688716,0.946735408560311,0.946735408560311,0.476690661478599,0.94548028322246,0.947990533898163,63.0350194552529,0.117273183805811,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p6667/points/result_n_42_awgn_ebno_p1p5.mat,exact-threshold,Exact threshold,42,0.1,0.666666666666667,1.5,1668,257000,174516,257000,0.00649027237354086,0.679050583657588,0.679050583657588,0.342770428015564,0.673427708952565,0.68467345836261,63.0350194552529,0.117273183805811,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p6667/points/result_n_42_awgn_ebno_p2p0.mat,exact-threshold,Exact threshold,42,0.1,0.666666666666667,2,1732,257000,3,257000,0.00673929961089494,1.16731517509728e-05,0.00673929961089494,0.00337548638132296,0.00638679711820751,0.00709180210358237,63.0350194552529,0.117273183805811,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/exact-threshold/n_42/Rc_0p6667/points/result_n_42_awgn_ebno_p2p5.mat,exact-threshold,Exact threshold,42,0.1,0.666666666666667,2.5,1732,257000,0,257000,0.00673929961089494,0,0.00673929961089494,0.00336964980544747,0.00638679711820751,0.00735061005190774,63.0350194552529,0.117273183805811,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/rank/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p1p0.mat,rank,Rank,40,0.1,0.333333333333333,1,3,135000,24878,135000,2.22222222222222e-05,0.184281481481481,0.184281481481481,0.0921518518518518,0.180167591174851,0.188395371788112,120,0.132743820071975,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/rank/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p1p5.mat,rank,Rank,40,0.1,0.333333333333333,1.5,3,135000,4658,135000,2.22222222222222e-05,0.0345037037037037,0.0345037037037037,0.017262962962963,0.0328616329723723,0.0361457744350352,120,0.132743820071975,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/rank/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p2p0.mat,rank,Rank,40,0.1,0.333333333333333,2,6,405000,2101,405000,1.48148148148148e-05,0.00518765432098765,0.00518765432098765,0.00260123456790123,0.00489023248718753,0.00548507615478778,120,0.132743820071975,1500,fixed_frames
