family,scheme,snr_db,frames,fp,fn,fer,noiseless_fp,mean_iterations,fp_lo95,fp_hi95,fp_events,fn_lo95,fn_hi95,fn_events,fer_lo95,fer_hi95,fer_events
exact,conventional,-5.0,100,0.0,1.0,1.0,0.0,50.0,0.0,0.029513049607039932,0,1.0,1.0,27000,1.0,1.0,100
exact,conventional,-4.5,100,0.0,1.0,1.0,0.0,50.0,0.0,0.029513049607039932,0,1.0,1.0,27000,1.0,1.0,100
exact,conventional,-4.0,100,0.0,1.0,1.0,0.0,50.0,0.0,0.029513049607039932,0,1.0,1.0,27000,1.0,1.0,100
exact,conventional,-3.5,100,0.0,1.0,1.0,0.0,50.0,0.0,0.029513049607039932,0,1.0,1.0,27000,1.0,1.0,100
exact,conventional,-3.0,100,0.0,1.0,1.0,0.0,50.0,0.0,0.029513049607039932,0,1.0,1.0,27000,1.0,1.0,100
exact,conventional,-2.5,100,0.0,1.0,1.0,0.0,50.0,0.0,0.029513049607039932,0,1.0,1.0,27000,1.0,1.0,100
exact,conventional,-2.0,100,0.0,1.0,1.0,0.0,50.0,0.0,0.029513049607039932,0,1.0,1.0,27000,1.0,1.0,100
exact,conventional,-1.5,100,0.0,1.0,1.0,0.0,50.0,0.0,0.029513049607039932,0,1.0,1.0,27000,1.0,1.0,100
exact,conventional,-1.0,100,0.0,0.9998888888888889,1.0,0.0,50.0,0.0,0.029513049607039932,0,0.9997407407407407,1.0,26997,1.0,1.0,100
exact,conventional,-0.5,100,0.0,0.9997777777777778,1.0,0.0,50.0,0.0,0.029513049607039932,0,0.9995925925925926,0.9999259259259259,26994,1.0,1.0,100
exact,conventional,0.0,100,0.0,0.9991481481481481,1.0,0.0,50.0,0.0,0.029513049607039932,0,0.9987777777777778,0.9995185185185185,26977,1.0,1.0,100
exact,conventional,0.5,100,0.0,0.9977777777777778,1.0,0.0,50.0,0.0,0.029513049607039932,0,0.9972222222222222,0.9982962962962963,26940,1.0,1.0,100
exact,conventional,1.0,100,0.0,0.9921481481481481,1.0,0.0,50.0,0.0,0.029513049607039932,0,0.9910740740740741,0.9931111111111111,26788,1.0,1.0,100
exact,conventional,1.5,100,0.0,0.959,1.0,0.0,50.0,0.0,0.029513049607039932,0,0.9563703703703703,0.9615925925925926,25893,1.0,1.0,100
exact,conventional,2.0,100,0.0,0.06481481481481481,0.2,0.0,35.54,0.0,0.029513049607039932,0,0.033919444444444447,0.10200185185185183,1750,0.12975000000000003,0.28,20
exact,conventional,2.5,100,0.0,0.0,0.0,0.0,11.32,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,conventional,3.0,100,0.0,0.0,0.0,0.0,6.93,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,conventional,3.5,100,0.0,0.0,0.0,0.0,5.24,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,-5.5,100,0.0,0.999,1.0,0.0,50.0,0.0,0.029513049607039932,0,0.9985925925925926,0.9993703703703704,26973,1.0,1.0,100
id,bfc,-5.0,100,0.0,0.9325185185185185,1.0,0.0,50.0,0.0,0.029513049607039932,0,0.9205888888888889,0.9434074074074074,25178,1.0,1.0,100
id,bfc,-4.5,100,0.0,0.017037037037037038,0.51,0.0,49.37,0.0,0.029513049607039932,0,0.009851851851851851,0.025703703703703704,460,0.41,0.61,51
id,bfc,-4.0,100,0.0,0.0,0.0,0.0,32.15,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,-3.5,100,0.0,0.0,0.0,0.0,22.47,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,-3.0,100,0.0,0.0,0.0,0.0,17.43,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,-2.5,100,0.0,0.0,0.0,0.0,14.12,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,-2.0,100,0.0,0.0,0.0,0.0,11.72,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,-1.5,100,0.0,0.0,0.0,0.0,9.68,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,-1.0,100,0.0,0.0,0.0,0.0,8.39,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,-0.5,100,0.0,0.0,0.0,0.0,7.22,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,0.0,100,0.0,0.0,0.0,0.0,6.3,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,0.5,100,0.0,0.0,0.0,0.0,5.41,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,1.0,100,0.0,0.0,0.0,0.0,4.79,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,1.5,100,0.0,0.0,0.0,0.0,4.26,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,2.0,100,0.0,0.0,0.0,0.0,3.76,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,2.5,100,0.0,0.0,0.0,0.0,3.24,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,3.0,100,0.0,0.0,0.0,0.0,2.99,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
id,bfc,3.5,100,0.0,0.0,0.0,0.0,2.55,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,-5.5,100,0.0,0.9979259259259259,1.0,3.7037037037037037e-05,50.0,0.0,0.029513049607039932,0,0.9974074074074074,0.9984074074074074,26944,1.0,1.0,100
rank,bfc,-5.0,100,0.0,0.9189259259259259,1.0,3.7037037037037037e-05,50.0,0.0,0.029513049607039932,0,0.9053694444444444,0.9316675925925926,24811,1.0,1.0,100
rank,bfc,-4.5,100,3.7037037037037037e-05,0.018037037037037035,0.58,3.7037037037037037e-05,49.54,0.0,0.00011111111111111112,1,0.011,0.025704629629629626,487,0.49,0.67,58
rank,bfc,-4.0,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,32.08,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,-3.5,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,22.6,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,-3.0,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,17.51,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,-2.5,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,14.26,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,-2.0,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,11.73,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,-1.5,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,9.97,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,-1.0,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,8.33,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,-0.5,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,7.22,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,0.0,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,6.29,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,0.5,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,5.49,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,1.0,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,4.74,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,1.5,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,4.2,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,2.0,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,3.77,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,2.5,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,3.3,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,3.0,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,2.97,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
rank,bfc,3.5,100,3.7037037037037037e-05,0.0,0.0,3.7037037037037037e-05,2.54,0.0,0.00011111111111111112,1,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
