family,scheme,snr_db,frames,negative_trials,positive_trials,fp,fn,fer,noiseless_fp,mean_iterations,balanced_error,noiseless_balanced_error,fp_lo95,fp_hi95,fp_events,fn_lo95,fn_hi95,fn_events,fer_lo95,fer_hi95,fer_events,balanced_error_lo95,balanced_error_hi95,balanced_error_events
exact,conventional,-4.6,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-4.5,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-4.4,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-4.3,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-4.2,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-4.1,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-4.0,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-3.9,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-3.8,10000,2700000,2700000,0.0,0.9999996296296296,1.0,0.0,50.0,0.4999998148148148,0.0,0.0,0.00029952835977664627,0,0.9999988888888889,1.0,2699999,1.0,1.0,10000,0.49999944444444444,0.5,2699999
exact,conventional,-3.7,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-3.6,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-3.0,10000,2700000,2700000,0.0,0.9999992592592593,1.0,0.0,50.0,0.4999996296296296,0.0,0.0,0.00029952835977664627,0,0.9999981481481481,1.0,2699998,1.0,1.0,10000,0.49999907407407407,0.5,2699998
exact,conventional,0.0,10000,2700000,2700000,0.0,0.99921,1.0,0.0,50.0,0.499605,0.0,0.0,0.00029952835977664627,0,0.9991751851851852,0.9992448240740741,2697867,1.0,1.0,10000,0.49958814351851855,0.49962203703703706,2697867
exact,conventional,1.1,10000,2700000,2700000,0.0,0.9890422222222223,1.0,0.0,50.0,0.49452111111111113,0.0,0.0,0.00029952835977664627,0,0.98892,0.989164074074074,2670414,1.0,1.0,10000,0.49445869444444446,0.49458760185185185,2670414
exact,conventional,1.2,10000,2700000,2700000,0.0,0.9852640740740741,1.0,0.0,50.0,0.49263203703703706,0.0,0.0,0.00029952835977664627,0,0.9851174074074074,0.9854051944444444,2660213,1.0,1.0,10000,0.4925568425925926,0.49270222685185183,2660213
exact,conventional,1.3,10000,2700000,2700000,0.0,0.9800162962962963,1.0,0.0,50.0,0.49000814814814814,0.0,0.0,0.00029952835977664627,0,0.9798377777777778,0.9801903888888889,2646044,1.0,1.0,10000,0.4899235,0.490095,2646044
