family,epsilon,n_t,r,T,K,m,S,rate,bound,aligned
id,0.01,68,34,17179869184,171798692,5841155528,1,0.4771118625414592,0.009999999951105565,True
id,0.01,68,34,17179869184,171798692,5841155528,1,0.4771118625414592,0.009999999951105565,False
id,0.01,69,35,17179869184,171798692,6012954220,1,0.47080328736976607,0.009999999951105565,True
id,0.01,69,35,17179869184,171798692,6012954220,1,0.47080328736976607,0.009999999951105565,False
id,0.01,70,35,34359738368,343597384,12025908440,1,0.47836324040734085,0.009999999980209395,True
id,0.01,70,35,34359738368,343597384,12025908440,1,0.47836324040734085,0.009999999980209395,False
id,0.01,71,36,34359738368,343597384,12369505824,1,0.47219815229593237,0.009999999980209395,True
id,0.01,71,36,34359738368,343597384,12369505824,1,0.47219815229593237,0.009999999980209395,False
id,0.01,72,36,68719476736,687194768,24739011648,1,0.47952873351404446,0.00999999999476131,True
id,0.01,72,36,68719476736,687194768,24739011648,1,0.47952873351404446,0.00999999999476131,False
id,0.01,73,37,68719476736,687194768,25426206416,1,0.4735013311944909,0.00999999999476131,True
id,0.01,73,37,68719476736,687194768,25426206416,1,0.4735013311944909,0.00999999999476131,False
id,0.01,74,37,137438953472,1374389535,50852412795,1,0.48061617805605594,0.00999999999476131,True
id,0.01,74,37,137438953472,1374389535,50852412795,1,0.48061617805605594,0.00999999999476131,False
id,0.01,75,38,137438953472,1374389535,52226802330,1,0.47472095098617034,0.00999999999476131,True
id,0.01,75,38,137438953472,1374389535,52226802330,1,0.47472095098617034,0.00999999999476131,False
id,0.01,76,38,274877906944,2748779070,104453604660,1,0.48163251742056284,0.00999999999839929,True
id,0.01,76,38,274877906944,2748779070,104453604660,1,0.48163251742056284,0.00999999999839929,False
id,0.01,77,39,274877906944,2748779070,107202383730,1,0.47586423414781087,0.00999999999839929,True
id,0.01,77,39,274877906944,2748779070,107202383730,1,0.47586423414781087,0.00999999999839929,False
id,0.01,78,39,549755813888,5497558139,214404767421,1,0.48258392345024376,0.00999999999839929,True
id,0.01,78,39,549755813888,5497558139,214404767421,1,0.48258392345024376,0.00999999999839929,False
id,0.01,79,40,549755813888,5497558139,219902325560,1,0.47693761905245735,0.00999999999839929,True
id,0.01,79,40,549755813888,5497558139,219902325560,1,0.47693761905245735,0.00999999999839929,False
id,0.01,80,40,1099511627776,10995116278,439804651120,1,0.48347589881430164,0.009999999999308784,True
id,0.01,80,40,1099511627776,10995116278,439804651120,1,0.48347589881430164,0.009999999999308784,False
rank,0.01,12,6,64,1,6,21,0.215413541726763,0.0,True
rank,0.01,12,6,64,1,6,21,0.215413541726763,0.0,False
rank,0.01,13,7,64,1,7,21,0.2159503786198157,0.0,True
rank,0.01,13,7,64,1,7,21,0.2159503786198157,0.0,False
rank,0.01,14,7,128,1,7,21,0.20052535157554316,0.0,True
rank,0.01,14,7,128,1,7,21,0.20052535157554316,0.0,False
rank,0.01,15,8,128,1,8,21,0.2,0.0,True
rank,0.01,15,8,128,1,8,21,0.2,0.0,False
rank,0.01,16,8,256,1,8,21,0.1875,0.0,True
rank,0.01,16,8,256,1,8,21,0.1875,0.0,False
rank,0.01,17,9,256,1,9,21,0.18646617655543013,0.0,True
rank,0.01,17,9,256,1,9,21,0.18646617655543013,0.0,False
rank,0.01,18,9,512,1,9,21,0.1761069445245729,0.0,True
rank,0.01,18,9,512,1,9,21,0.1761069445245729,0.0,False
rank,0.01,19,10,512,1,10,21,0.1748383207835454,0.0,True
rank,0.01,19,10,512,1,10,21,0.1748383207835454,0.0,False
rank,0.01,20,10,1024,1,10,21,0.1660964047443681,0.0,True
rank,0.01,20,10,1024,1,10,21,0.1660964047443681,0.0,False
rank,0.01,21,11,1024,1,11,21,0.16473483898272845,0.0,True
rank,0.01,21,11,1024,1,11,21,0.16473483898272845,0.0,False
rank,0.01,22,11,2048,1,11,21,0.1572468917562408,0.0,True
rank,0.01,22,11,2048,1,11,21,0.1572468917562408,0.0,False
rank,0.01,23,12,2048,1,12,21,0.1558679348139633,0.0,True
rank,0.01,23,12,2048,1,12,21,0.1558679348139633,0.0,False
rank,0.01,24,12,4096,2,24,21,0.19104010419671483,0.005126953125,True
rank,0.01,24,12,4096,2,24,21,0.19104010419671483,0.005126953125,False
rank,0.01,25,13,4096,2,26,21,0.18801758872564367,0.005126953125,True
rank,0.01,25,13,4096,2,26,21,0.18801758872564367,0.005126953125,False
rank,0.01,26,13,8192,4,52,21,0.21924768146696508,0.0076904296875,True
rank,0.01,26,13,8192,4,52,21,0.21924768146696508,0.0076904296875,False
rank,0.01,27,14,8192,4,56,21,0.21508721933546682,0.0076904296875,True
rank,0.01,27,14,8192,4,56,21,0.21508721933546682,0.0076904296875,False
rank,0.01,28,14,16384,8,112,21,0.24311981864491441,0.00897216796875,True
rank,0.01,28,14,16384,8,112,21,0.24311981864491441,0.00897216796875,False
rank,0.01,29,15,16384,8,120,21,0.23816864122787995,0.00897216796875,True
rank,0.01,29,15,16384,8,120,21,0.23816864122787995,0.00897216796875,False
rank,0.01,30,15,32768,16,240,21,0.2635630198536173,0.009613037109375,True
rank,0.01,30,15,32768,16,240,21,0.2635630198536173,0.009613037109375,False
rank,0.01,31,16,32768,16,256,21,0.25806451612903225,0.009613037109375,True
rank,0.01,31,16,32768,16,256,21,0.25806451612903225,0.009613037109375,False
rank,0.01,32,16,65536,32,512,21,0.28125,0.0099334716796875,True
rank,0.01,32,16,65536,32,512,21,0.28125,0.0099334716796875,False
rank,0.01,33,17,65536,32,544,21,0.2753776618560709,0.0099334716796875,True
rank,0.01,33,17,65536,32,544,21,0.2753776618560709,0.0099334716796875,False
rank,0.01,34,17,131072,63,1071,21,0.2960218460220664,0.0099334716796875,True
rank,0.01,34,17,131072,63,1071,21,0.2960218460220664,0.0099334716796875,False
rank,0.01,35,18,131072,63,1134,21,0.2899201407126351,0.0099334716796875,True
rank,0.01,35,18,131072,63,1134,21,0.2899201407126351,0.0099334716796875,False
rank,0.01,36,18,262144,125,2250,21,0.30932525794734445,0.0099334716796875,True
rank,0.01,36,18,262144,125,2250,21,0.30932525794734445,0.0099334716796875,False
rank,0.01,37,19,262144,125,2375,21,0.30307329184069387,0.0099334716796875,True
rank,0.01,37,19,262144,125,2375,21,0.30307329184069387,0.0099334716796875,False
rank,0.01,38,19,524288,250,4750,21,0.3214134683712019,0.009973526000976562,True
rank,0.01,38,19,524288,250,4750,21,0.3214134683712019,0.009973526000976562,False
rank,0.01,39,20,524288,250,5000,21,0.31506954819357563,0.009973526000976562,True
rank,0.01,39,20,524288,250,5000,21,0.31506954819357563,0.009973526000976562,False
rank,0.01,40,20,1048576,500,10000,21,0.3321928094887362,0.009993553161621094,True
rank,0.01,40,20,1048576,500,10000,21,0.3321928094887362,0.009993553161621094,False
rank,0.01,41,21,1048576,500,10500,21,0.32580735871806943,0.009993553161621094,True
rank,0.01,41,21,1048576,500,10500,21,0.32580735871806943,0.009993553161621094,False
rank,0.01,42,21,2097152,999,20979,21,0.34182519739455186,0.009993553161621094,True
rank,0.01,42,21,2097152,999,20979,21,0.34182519739455186,0.009993553161621094,False
rank,0.01,43,22,2097152,999,21978,21,0.33543656945185385,0.009993553161621094,True
rank,0.01,43,22,2097152,999,21978,21,0.33543656945185385,0.009993553161621094,False
rank,0.01,44,22,4194304,1998,43956,21,0.3505402837824935,0.009998559951782227,True
rank,0.01,44,22,4194304,1998,43956,21,0.3505402837824935,0.009998559951782227,False
rank,0.01,45,23,4194304,1998,45954,21,0.34417561830776516,0.009998559951782227,True
rank,0.01,45,23,4194304,1998,45954,21,0.34417561830776516,0.009998559951782227,False
rank,0.01,46,23,8388608,3995,91885,21,0.3584248205189642,0.009998559951782227,True
rank,0.01,46,23,8388608,3995,91885,21,0.3584248205189642,0.009998559951782227,False
rank,0.01,47,24,8388608,3995,95880,21,0.3521051550752446,0.009998559951782227,True
rank,0.01,47,24,8388608,3995,95880,21,0.3521051550752446,0.009998559951782227,False
rank,0.01,48,24,16777216,7990,191760,21,0.3656029643445103,0.00999981164932251,True
rank,0.01,48,24,16777216,7990,191760,21,0.3656029643445103,0.00999981164932251,False
rank,0.01,49,25,16777216,7990,199750,21,0.35934359137938904,0.00999981164932251,True
rank,0.01,49,25,16777216,7990,199750,21,0.35934359137938904,0.00999981164932251,False
