family,sequence,n_t,r,T,K,m,S,rate,E,bound,design_bound,asymptotic
id,vanishing_E,84,42,4398046511104,7660803710,321753755820,1,0.45508530991467255,0.1091089451179962,0.0017418650961644744,0.0017418650964336117,0.5
id,fixed_E,86,43,8796093022208,22668973294,974765851642,1,0.4630961017986163,0.1,0.0025771638880769387,0.00257716388822831,0.5
id,vanishing_E,86,43,8796093022208,14211910965,611112171495,1,0.45526332859497165,0.10783277320343841,0.0016157072154783236,0.0016157072156355,0.5
id,fixed_E,88,44,17592186044416,39468974941,1736634897404,1,0.4620389956661459,0.1,0.002243551474521155,0.002243551474603583,0.5
id,vanishing_E,88,44,17592186044416,26388100991,1161076443604,1,0.4554386374880275,0.10660035817780521,0.0014999898775158726,0.0014999898776184835,0.5
id,fixed_E,90,45,35184372088832,68719476736,3092376453120,1,0.46102058995921863,0.1,0.0019531249999715783,0.001953125,0.5
id,vanishing_E,90,45,35184372088832,49037521764,2206688479380,1,0.45561133462008485,0.10540925533894598,0.0013937301947350988,0.0013937301947798437,0.5
id,fixed_E,92,46,70368744177664,119647558363,5503787684698,1,0.460038716913548,0.1,0.0017002940689110346,0.0017002940689377411,0.5
id,vanishing_E,92,46,70368744177664,91201402126,4195264497796,1,0.45578150988495436,0.10425720702853739,0.0012960498754210903,0.0012960498754494715,0.5
id,fixed_E,94,47,140737488355328,208318498661,9790969437067,1,0.4590913707625014,0.1,0.0014801919594731316,0.0014801919594828103,0.5
id,vanishing_E,94,47,140737488355328,169752314061,7978358760867,1,0.4559492461365941,0.10314212462587934,0.0012061627363380012,0.0012061627363493994,0.5
id,fixed_E,96,48,281474976710656,362703572709,17409771490032,1,0.45817669271583283,0.1,0.0012885819441095236,0.0012885819441141532,0.5
id,vanishing_E,96,48,281474976710656,316198820283,15177543373584,1,0.4561146200998767,0.10206207261596577,0.0011233638740364427,0.001123363874040212,0.5
id,fixed_E,98,49,562949953421312,631503599063,30943676354087,1,0.4572929575930076,0.1,0.0011217757372996573,0.0011217757373017914,0.5
id,vanishing_E,98,49,562949953421312,589420002163,28881580105987,1,0.45627770313778465,0.10101525445522107,0.0010470202521197791,0.0010470202521220264,0.5
id,fixed_E,100,50,1125899906842624,1099511627776,54975581388800,1,0.45643856189774723,0.1,0.0009765624999991118,0.0009765625,0.5
id,vanishing_E,100,50,1125899906842624,1099511627776,54975581388800,1,0.45643856189774723,0.1,0.0009765624999991118,0.0009765625,0.5
id,fixed_E,102,51,2251799813685248,1914360933822,97632407624922,1,0.4556120131565828,0.1,0.0008501470344683959,0.0008501470344688706,0.5
id,vanishing_E,102,51,2251799813685248,2052465430459,104675736953409,1,0.45659725885891517,0.09901475429766744,0.0009114777512566619,0.000911477751257151,0.5
id,fixed_E,104,52,4503599627370496,3333095978581,173320990886212,1,0.454811920366738,0.1,0.0007400959797410067,0.0007400959797414052,0.5
id,vanishing_E,104,52,4503599627370496,3833929568652,199364337569904,1,0.4567538527976459,0.09805806756909202,0.000851303376381507,0.0008513033763819304,0.5
id,fixed_E,106,53,9007199254740992,5803257163348,307572629657444,1,0.45403698542040555,0.1,0.0006442909720568712,0.0006442909720570766,0.5
id,vanishing_E,106,53,9007199254740992,7166321262941,379815026935873,1,0.4569083991846802,0.09712858623572641,0.0007956214867976819,0.0007956214867978494,0.5
id,fixed_E,108,54,18014398509481984,10104057585011,545619109590594,1,0.4532859953904022,0.1,0.0005608878686508278,0.0005608878686508957,0.5
id,vanishing_E,108,54,18014398509481984,13403687171927,723799107284058,1,0.45706095052546475,0.09622504486493763,0.0007440541056572547,0.0007440541056573171,0.5
id,fixed_E,110,55,36028797018963968,17592186044416,967570232442880,1,0.4525578155774969,0.1,0.00048828124999997224,0.00048828125,0.5
id,vanishing_E,110,55,36028797018963968,25085371169877,1379695414343235,1,0.45721155665293733,0.09534625892455924,0.0006962589163516109,0.0006962589163516577,0.5
id,fixed_E,112,56,72057594037927936,30629774941153,1715267396704568,1,0.4518513832326571,0.1,0.00042507351723442,0.0004250735172344353,0.5
id,vanishing_E,112,56,72057594037927936,46976183936181,2630666300426136,1,0.45736026498035015,0.0944911182523068,0.0006519255126871681,0.0006519255126871937,0.5
id,fixed_E,114,57,144115188075855872,53329535657308,3039783532466556,1,0.4511657018786379,0.1,0.0003700479898706907,0.0003700479898707026,0.5
id,vanishing_E,114,57,144115188075855872,88021533990012,5017227437430684,1,0.45750712072046856,0.0936585811581694,0.0006107720856158502,0.0006107720856158614,0.5
id,fixed_E,116,58,288230376151711744,92852114613581,5385422647587698,1,0.45049983616489275,0.1,0.00032214548602853277,0.0003221454860285383,0.5
id,vanishing_E,116,58,288230376151711744,165024137439946,9571399971516868,1,0.4576521670763669,0.09284766908852593,0.0005725424906397915,0.0005725424906397973,0.5
id,fixed_E,118,59,576460752303423488,161664921360179,9538230360250561,1,0.44985290719798166,0.1,0.00028044393432544515,0.00028044393432544786,0.5
id,vanishing_E,118,59,576460752303423488,309561526812179,18264130081918561,1,0.4577954454081493,0.09205746178983235,0.000537003647820309,0.000537003647820311,0.5
id,fixed_E,120,60,1152921504606846976,281474976710656,16888498602639360,1,0.44922408829673766,0.1,0.00024414062499999913,0.000244140625,0.5
id,vanishing_E,120,60,1152921504606846976,581006990367077,34860419422024620,1,0.45793699537920995,0.09128709291752768,0.0005039432329481987,0.0005039432329482007,0.5
id,fixed_E,122,61,2305843009213693952,490076399058450,29894660342565450,1,0.4486126011275646,0.1,0.00021253675861721737,0.00021253675861721764,0.5
id,vanishing_E,122,61,2305843009213693952,1091050258143440,66554065746749840,1,0.45807685508504614,0.09053574604251853,0.0004731676240679948,0.0004731676240679954,0.5
id,fixed_E,124,62,4611686018427387904,853272570516939,52902899372050218,1,0.44801771218053926,0.1,0.000185023994935351,0.0001850239949353513,0.5
id,vanishing_E,124,62,4611686018427387904,2049894768862104,127093475669450448,1,0.4582150611671519,0.08980265101338746,0.0004445000723533926,0.00044450007235339293,0.5
id,fixed_E,126,63,9223372036854775808,1485633833817307,93594931530490341,1,0.44743872955158664,0.1,0.0001610727430142692,0.00016107274301426915,0.5
id,vanishing_E,126,63,9223372036854775808,3853331795849001,242759903138487063,1,0.45835164891411184,0.0890870806374748,0.0004177790704366956,0.0004177790704366959,0.5
id,fixed_E,128,64,18446744073709551616,2586638741762874,165544879472823936,1,0.446875,0.1,0.00014022196716272393,0.00014022196716272393,0.5
id,vanishing_E,128,64,18446744073709551616,7246930596177816,463803558155380224,1,0.45848665235168157,0.08838834764831843,0.00039285689481138294,0.00039285689481138294,0.5
id,fixed_E,130,65,36893488147419103232,4503599627370496,292733975779082240,1,0.44632590625406504,0.1,0.00012207031249999997,0.0001220703125,0.5
id,vanishing_E,130,65,36893488147419103232,13635770572112800,886325087187332000,1,0.4586201043233621,0.08770580193070293,0.0003695983019449652,0.0003695983019449652,0.5
id,fixed_E,132,66,73786976294838206464,7841222384935200,517520677405723200,1,0.44579086454059436,0.1,0.00010626837930860889,0.00010626837930860882,0.5
id,vanishing_E,132,66,73786976294838206464,25668966114518632,1694151763558229712,1,0.4587520365627454,0.08703882797784893,0.00034787936033522373,0.0003478793603352237,0.5
id,fixed_E,134,67,147573952589676412928,13652361128271032,914708195594159144,1,0.44526932231684907,0.1,9.251199746767566e-05,9.251199746767564e-05,0.5
id,vanishing_E,134,67,147573952589676412928,48343220302439288,3238995760263432296,1,0.45888247975871305,0.08638684255813601,0.00032758640298031263,0.0003275864029803126,0.5
id,fixed_E,136,68,295147905179352825856,23770141341076913,1616369611193230084,1,0.4447607561856643,0.1,8.053637150713466e-05,8.053637150713457e-05,0.5
id,vanishing_E,136,68,295147905179352825856,91087096336055153,6193922550851750404,1,0.4590114636144098,0.08574929257125441,0.0003086150866654607,0.0003086150866654607,0.5
id,fixed_E,138,69,590295810358705651712,41386219868205988,2855649170906213172,1,0.44426466997665337,0.1,7.011098358136199e-05,7.011098358136196e-05,0.5
id,vanishing_E,138,69,590295810358705651712,171699074447893911,11847236136904679859,1,0.4591390169007785,0.08512565307587486,0.00029086954614087024,0.00029086954614087034,0.5
id,fixed_E,140,70,1180591620717411303424,72057594037927936,5044031582654955520,1,0.44378059297817835,0.1,6.103515625e-05,6.103515625e-05,0.5
id,vanishing_E,140,70,1180591620717411303424,323790985467289076,22665368982710235320,1,0.45926516750532664,0.08451542547285165,0.0002742616327147322,0.0002742616327147323,0.5
id,fixed_E,142,71,2361183241434822606848,125459558158963202,8907628629286387342,1,0.44330807830637103,0.1,5.313418965430445e-05,5.313418965430441e-05,0.5
id,vanishing_E,142,71,2361183241434822606848,610862254845104031,43371220094002386201,1,0.4593899424767021,0.08391813582966891,0.000258710228043928,0.00025871022804392814,0.5
id,fixed_E,144,72,4722366482869645213696,218437778052336525,15727520019768229800,1,0.4428467013989049,0.1,4.625599873383783e-05,4.625599873383782e-05,0.5
id,vanishing_E,144,72,4722366482869645213696,1152921504606847359,83010348331693009848,1,0.4595133680655716,0.08333333333333333,0.00024414062500000005,0.000244140625,0.5
id,fixed_E,146,73,9444732965739290427392,380322261457230609,27763525086377834457,1,0.44239605862246584,0.1,4.026818575356733e-05,4.026818575356729e-05,0.5
id,vanishing_E,146,73,9444732965739290427392,2176859534820439214,158910746041892062622,1,0.459635469762229,0.0827605888602368,0.00023048396844219774,0.0002304839684421978,0.5
id,fixed_E,148,74,18889465931478580854784,662179517891295819,49001284323955890606,1,0.4419557659839794,0.1,3.5055491790681e-05,3.505549179068098e-05,0.5
id,vanishing_E,148,74,18889465931478580854784,4111797544933991065,304273018325115338810,1,0.45975627233130073,0.08219949365267865,0.00021767674956240217,0.00021767674956240214,0.5
id,fixed_E,150,75,37778931862957161709568,1152921504606846976,86469112845513523200,1,0.4415254579366392,0.1,3.0517578125e-05,3.0517578125e-05,0.5
id,vanishing_E,150,75,37778931862957161709568,7769628281370724225,582722121102804316875,1,0.45987579984386656,0.08164965809277261,0.00020566034819499403,0.00020566034819499395,0.5
id,fixed_E,152,76,75557863725914323419136,2007352930543411233,152558822721299253708,1,0.44110478627265515,0.1,2.6567094827152225e-05,2.6567094827152205e-05,0.5
id,vanishing_E,152,76,75557863725914323419136,14686984255058461651,1116210803384443085476,1,0.4599940757072739,0.08111071056538127,0.00019438061812249489,0.0001943806181224948,0.5
id,fixed_E,154,77,151115727451828646838272,3495004448837384407,269115342560478599339,1,0.4406934190954214,0.1,2.3127999366918915e-05,2.312799936691891e-05,0.5
id,vanishing_E,154,77,151115727451828646838272,27773183416358732660,2138535123059622414820,1,0.4601111226928834,0.08058229640253803,0.00018378751096712964,0.00018378751096712962,0.5
id,fixed_E,156,78,302231454903657293676544,6085156183315689749,474642182298623800422,1,0.44029103986450163,0.1,2.0134092876783664e-05,2.0134092876783644e-05,0.5
id,vanishing_E,156,78,302231454903657293676544,52538324796205355562,4097989334104017733836,1,0.46022696296195803,0.08006407690254357,0.0001738347347497403,0.00017383473474974031,0.5
id,fixed_E,158,79,604462909807314587353088,10594872286260733109,836994910614597915611,1,0.43989734650745005,0.1,1.75277458953405e-05,1.752774589534049e-05,0.5
id,vanishing_E,158,79,604462909807314587353088,99421723099841229144,7854316124887457102376,1,0.460341618089877,0.079555728417573,0.00016447944362960834,0.0001644794436296084,0.5
id,fixed_E,160,80,1208925819614629174706176,18446744073709551616,1475739525896764129280,1,0.43951205059304604,0.1,1.52587890625e-05,1.52587890625e-05,0.5
id,vanishing_E,160,80,1208925819614629174706176,188207935917269275764,15056634873381542061120,1,0.4604551090888365,0.07905694150420949,0.0001556819557193878,0.00015568195571938781,0.5
id,fixed_E,162,81,2417851639229258349412352,32117646888694579732,2601529397984260958292,1,0.43913487656101624,0.1,1.3283547413576113e-05,1.328354741357612e-05,0.5
id,vanishing_E,162,81,2417851639229258349412352,356404620630916271035,28868774271104217953835,1,0.4605674564291776,0.07856742013183861,0.00014740549620510538,0.00014740549620510535,0.5
id,fixed_E,164,82,4835703278458516698824704,55920071181398150515,4585445836874648342230,1,0.4387655610037688,0.1,1.1563999683459457e-05,1.156399968345944e-05,0.5
id,vanishing_E,164,82,4835703278458516698824704,675141371443953260636,55361592458404167372152,1,0.4606786800594658,0.07808688094430304,0.0001396159632977251,0.00013961596329772525,0.5
id,fixed_E,166,83,9671406556917033397649408,97362498933051035994,8081087411443235987502,1,0.4384038519960658,0.1,1.0067046438391832e-05,1.0067046438391822e-05,0.5
id,vanishing_E,166,83,9671406556917033397649408,1279350243925895080289,106186070245849291663987,1,0.46078879942543255,0.07761505257063328,0.00013228171480506092,0.00013228171480506092,0.5
id,fixed_E,168,84,19342813113834066795298816,169517956580171729746,14239508352734425298664,1,0.4380495084689212,0.1,8.76387294767025e-06,8.763872947670246e-06,0.5
id,vanishing_E,168,84,19342813113834066795298816,2425073730064230192315,203706193325395336154460,1,0.46089783348787516,0.07715167498104596,0.0001253733733450491,0.00012537337334504915,0.5
id,fixed_E,170,85,38685626227668133590597632,295147905179352825856,25087571940244990197760,1,0.4377022996243394,0.1,7.62939453125e-06,7.62939453125e-06,0.5
id,vanishing_E,170,85,38685626227668133590597632,4598314675116799976113,390856747384927997969605,1,0.46100580073960234,0.07669649888473704,0.0001188636484273341,0.00011886364842733411,0.5
id,fixed_E,172,86,77371252455336267181195264,513882350219113275727,44193882118843741712522,1,0.4373620043878029,0.1,6.641773706788056e-06,6.64177370678806e-06,0.5
id,vanishing_E,172,86,77371252455336267181195264,8721842623654080501451,750078465634250923124786,1,0.4611127192215006,0.07624928516630233,0.00011272717381289513,0.00011272717381289513,0.5
id,fixed_E,174,87,154742504910672534362390528,894721138902370408242,77840739084506225517054,1,0.4370284108956824,0.1,5.781999841729729e-06,5.78199984172972e-06,0.5
id,vanishing_E,174,87,154742504910672534362390528,16548218984986303418921,1439695051693808397446127,1,0.46121860653779195,0.07580980435789034,0.00010694035872392666,0.00010694035872392676,0.5
id,fixed_E,176,88,309485009821345068724781056,1557799982928816575908,137086398497735858679904,1,0.4367013160149847,0.1,5.033523219195916e-06,5.033523219195911e-06,0.5
id,vanishing_E,176,88,309485009821345068724781056,31406926154523772766752,2763809501598092003474176,1,0.4613234798705437,0.07537783614444091,0.00010148125162072922,0.00010148125162072928,0.5
id,fixed_E,178,89,618970019642690137449562112,2712287305282747675945,241393570170164543159105,1,0.43638052489306967,0.1,4.381936473835125e-06,4.381936473835123e-06,0.5
id,vanishing_E,178,89,618970019642690137449562112,59625020136830221502196,5306626792177889713695444,1,0.4614273559934835,0.07495316889958614,9.632941539115202e-05,9.632941539115193e-05,0.5
id,fixed_E,180,90,1237940039285380274899124224,4722366482869645213696,425012983458268069232640,1,0.4360658505351649,0.1,3.814697265625e-06,3.814697265625e-06,0.5
id,vanishing_E,180,90,1237940039285380274899124224,113229192030744362182767,10190627282766992596449030,1,0.46153025128517183,0.07453559924999299,9.146581291296438e-05,9.146581291296434e-05,0.5
id,fixed_E,182,91,2475880078570760549798248448,8222117603505812411638,748212701919028929459058,1,0.43575711340768514,0.1,3.320886853394028e-06,3.32088685339403e-06,0.5
id,vanishing_E,182,91,2475880078570760549798248448,215086392382314969641848,19572861706790662237408168,1,0.461632181741575,0.07412493166611012,8.687270205206258e-05,8.68727020520626e-05,0.5
id,fixed_E,184,92,4951760157141521099596496896,14315538222437926531878,1317029516464289240932776,1,0.43545414106552727,0.1,2.8909999208648643e-06,2.89099992086486e-06,0.5
id,vanishing_E,184,92,4951760157141521099596496896,408686291291174479361470,37599138798788052101255240,1,0.4617331629880787,0.07372097807744857,8.253353925103975e-05,8.253353925103978e-05,0.5
id,fixed_E,186,93,9903520314283042199192993792,24924799726861065214542,2318006374598079064952406,1,0.4351567678016561,0.1,2.516761609597958e-06,2.5167616095979554e-06,0.5
id,vanishing_E,186,93,9903520314283042199192993792,776761728778040098093261,72238840776357729122673273,1,0.4618332102909794,0.07332355751067665,7.8432890944625e-05,7.8432890944625e-05,0.5
id,fixed_E,188,94,19807040628566084398385987584,43396596884523962815120,4079280107145252504621280,1,0.4348648343174342,0.1,2.1909682369175627e-06,2.1909682369175614e-06,0.5
id,vanishing_E,188,94,19807040628566084398385987584,1476740695398153949856498,138813625367426471286510812,1,0.4619323385684869,0.07293249574894728,7.455635211190362e-05,7.455635211190368e-05,0.5
id,fixed_E,190,95,39614081257132168796771975168,75557863725914323419136,7177997053961860724817920,1,0.43457818741226817,0.1,1.9073486328125e-06,1.9073486328125e-06,0.5
id,vanishing_E,190,95,39614081257132168796771975168,2808260892060250575220757,266784784745723804645971915,1,0.462030562401267,0.07254762501100116,7.08904713410373e-05,7.089047134103724e-05,0.5
id,fixed_E,192,96,79228162514264337593543950336,131553881656092998586209,12629172638984927864276064,1,0.434296679691256,0.1,1.660443426697014e-06,1.660443426697011e-06,0.5
id,vanishing_E,192,96,79228162514264337593543950336,5341775194066149709652389,512810418630350372126629344,1,0.4621278960425528,0.07216878364870323,6.74226818412507e-05,6.742268184125066e-05,0.5
id,fixed_E,194,97,158456325028528675187087900672,229048611559006824510056,22217715321223661977475432,1,0.4340201692896244,0.1,1.4454999604324322e-06,1.44549996043243e-06,0.5
id,vanishing_E,194,97,158456325028528675187087900672,10163584838812003094438809,985867729364764300160564473,1,0.46222435342785057,0.07179581586177382,6.41412378898863e-05,6.41412378898863e-05,0.5
id,fixed_E,196,98,316912650057057350374175801344,398796795629777043432682,39082085971718150256402836,1,0.4337485196128327,0.1,1.258380804798979e-06,1.2583808047989777e-06,0.5
id,vanishing_E,196,98,316912650057057350374175801344,19342813113834089319758324,1895595685155740753336315752,1,0.46231994818426125,0.07142857142857142,6.103515625000007e-05,6.103515625e-05,0.5
id,fixed_E,198,99,633825300114114700748351602688,694345550152383405041935,68740209465085957099151565,1,0.4334815990913112,0.1,1.0954841184587813e-06,1.0954841184587807e-06,0.5
id,vanishing_E,198,99,633825300114114700748351602688,36821549751284517523130098,3645333425377167234789879702,1,0.462414693639441,0.07106690545187015,5.809416213687765e-05,5.809416213687764e-05,0.5
id,fixed_E,200,100,1267650600228229401496703205376,1208925819614629174706176,120892581961462917470617600,1,0.43321928094887363,0.1,9.5367431640625e-07,9.5367431640625e-07,0.5
id,vanishing_E,200,100,1267650600228229401496703205376,70112029870446205634043027,7011202987044620563404302700,1,0.4625086028302189,0.07071067811865475,5.5308639350482814e-05,5.530863935048277e-05,0.5
id,fixed_E,256,128,340282366920938463463374607431768211456,6690699980388625489511488543534,856409597489744062657470533572352,1,0.42734375,0.1,1.9662200074984047e-08,1.9662200074984027e-08,0.5
id,vanishing_E,256,128,340282366920938463463374607431768211456,5192296858534827628530496329220096,664613997892457936451903530140172288,1,0.46484375,0.0625,1.52587890625e-05,1.52587890625e-05,0.5
id,fixed_E,512,256,115792089237316195423570985008687907853269984665640564039457584007913129639936,44765466227572353509955042987089119678423934249686505478432820,11459959354258522498548491004694814637676527167919745402478801920,1,0.415625,0.1,3.866021117887027e-16,3.8660211178870195e-16,0.5
id,vanishing_E,512,256,115792089237316195423570985008687907853269984665640564039457584007913129639936,17870950389197701179196985028015374273999561593421965001687595500602419,4574963299634611501874428167171935814143887767916023040432024448154219264,1,0.4714308261758408,0.044194173824159216,1.5433653980084203e-07,1.54336539800842e-07,0.5
id,fixed_E,1024,512,13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096,2003946966571920958968922358794100225499020164280141581796429411662582299510541422781405573422797021453873324578777598371810,1026020846884823530992088247702579315455498324111432489879771858771242137349397208464079653592472074984383142184334130366366720,1,0.4087890625,0.1,1.4946119283948456e-31,1.49461192839484e-31,0.5
id,vanishing_E,1024,512,13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096,3121748550315992231381597229793166305748598142664971150859156959625371738819765620120306103063491971159826931121406622895447975679288285306290176,1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112,1,0.4775390625,0.03125,2.3283064365386963e-10,2.3283064365386963e-10,0.5
