experiment,family,n_t,m,K,T,S,bound,G,padding,R_c,payload_rate,n_eff,R_eff,unpacked_rate,packing_gain,ebno_db,frames,frame_errors,fer,fer_lower95,fer_upper95,fpr,fnr,noiseless_fpr,fpr_lower95,fpr_upper95,fnr_lower95,fnr_upper95,max_error,max_lower95,max_upper95,fp_count,fn_count,negative_trials,positive_trials,bad_frame_given_negative,bad_frame_given_positive,zero_frame_upper95,fpr_zero_upper95,fnr_zero_upper95,diagnostic_fp_envelope,runtime_hours,seed,source
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,925,30,0.6,0.5995370370370371,70.05405405405405,0.10552304963071533,0.00011407897257374631,925,1.5,2500,0,0.0,0,0.001474463690359561,0.006682810810810811,0.0,0.006682810810810811,0.006537575708828365,0.00682989100023265,0,0,0.006682810810810811,0.006537575708828365,0.00682989100023265,7727,0,1156250,1156250,0.0,0.0,0.0011975752431599648,0.0011988699190985162,0.0011988699190985162,0.04682350158691406,0.6872479825,102557610,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p6/points/result_n_42_awgn_ebno_p1p5.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,925,30,0.6,0.5995370370370371,70.05405405405405,0.10552304963071533,0.00011407897257374631,925,2,2500,0,0.0,0,0.001474463690359561,0.006682810810810811,0.0,0.006682810810810811,0.0065349697857107645,0.006832503342737395,0,0,0.006682810810810811,0.0065349697857107645,0.006832503342737395,7727,0,1156250,1156250,0.0,0.0,0.0011975752431599648,0.0011988699190985162,0.0011988699190985162,0.04682350158691406,1.6139579108333333,103062110,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p6/points/result_n_42_awgn_ebno_p2p0.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,925,30,0.6,0.5995370370370371,70.05405405405405,0.10552304963071533,0.00011407897257374631,925,2.5,2500,0,0.0,0,0.001474463690359561,0.006682810810810811,0.0,0.006682810810810811,0.006524252768094121,0.006841957780683729,0,0,0.006682810810810811,0.006524252768094121,0.006841957780683729,7727,0,1156250,1156250,0.0,0.0,0.0011975752431599648,0.0011988699190985162,0.0011988699190985162,0.04682350158691406,0.6121934827777777,103566610,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p6/points/result_n_42_awgn_ebno_p2p5.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,1028,24,0.6666666666666666,0.6662962962962963,63.03501945525292,0.1172731838058112,0.00011407897257374631,1028,1,2500,2500,1.0,0.9985255363096405,1,0.006596108949416342,0.9167953307392996,0.006688715953307393,0.006456809338521401,0.006730739299610895,0.9161470817120623,0.9174046692607004,0.9167953307392996,0.9161470817120623,0.9174046692607004,8476,1178082,1285000,1285000,1.0,1.0,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,1,2.413428054166667,102053110,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p6667/points/result_n_42_awgn_ebno_p1p0.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,1028,24,0.6666666666666666,0.6662962962962963,63.03501945525292,0.1172731838058112,0.00011407897257374631,1028,1.5,2500,2499,0.9996,0.9977733793013243,0.9999898729280854,0.006519844357976654,0.5731688715953307,0.006688715953307393,0.0063844357976653695,0.006653696498054475,0.568736186770428,0.5774085603112841,0.5731688715953307,0.568736186770428,0.5774085603112841,8378,736522,1285000,1285000,0.9996,0.9996,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,1,2.077248043888889,102557610,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p6667/points/result_n_42_awgn_ebno_p1p5.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,1028,24,0.6666666666666666,0.6662962962962963,63.03501945525292,0.1172731838058112,0.00011407897257374631,1028,2,2500,21,0.0084,0.005207035557708228,0.012811770769472482,0.006684824902723736,0.000664591439688716,0.006688715953307393,0.0065392996108949416,0.006830350194552529,0.00012217898832684825,0.0015735408560311284,0.006684824902723736,0.0065392996108949416,0.006830350194552529,8590,854,1285000,1285000,0.0084,0.0084,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,0.05522350158691406,1.2470783972222221,103062110,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p6667/points/result_n_42_awgn_ebno_p2p0.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,1028,24,0.6666666666666666,0.6662962962962963,63.03501945525292,0.1172731838058112,0.00011407897257374631,1028,2.5,2500,4,0.0016,0.00043611280252176183,0.004091523994967701,0.00668715953307393,0.0007011673151750973,0.006688715953307393,0.006551750972762646,0.006822568093385214,0.0,0.001798443579766537,0.00668715953307393,0.006551750972762646,0.006822568093385214,8593,901,1285000,1285000,0.0016,0.0016,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,0.04842350158691406,0.49107479138888893,103566610,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p6667/points/result_n_42_awgn_ebno_p2p5.mat
rate_pareto,id,40,1310720,65536,1048576,1,0.062499046325683594,540,0,0.3333333333333333,0.3333333333333333,120.0,0.16934940079072802,0.0003136100014643111,540,1,2500,0,0.0,0,0.001474463690359561,4.444444444444444e-06,0.0,4.444444444444444e-06,0.0,1.037037037037037e-05,0,0,4.444444444444444e-06,0.0,1.037037037037037e-05,3,0,675000,675000,0.0,0.0,0.0011975752431599648,0.001197575243159965,0.001197575243159965,0.062499046325683594,3.0072658197222224,102051092,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p1p0.mat
rate_pareto,id,40,1310720,65536,1048576,1,0.062499046325683594,540,0,0.3333333333333333,0.3333333333333333,120.0,0.16934940079072802,0.0003136100014643111,540,1.5,2500,1,0.0004,1.0127071914576963e-05,0.002226620698675696,4.444444444444444e-06,0.0003540740740740741,4.444444444444444e-06,0.0,1.037037037037037e-05,0.0,0.0010622222222222222,0.0003540740740740741,1.4814814814814815e-06,0.0010622222222222222,3,239,675000,675000,0.0004,0.0004,0.0011975752431599648,0.001197575243159965,0.001197575243159965,0.06289904632568359,2.9023510005555555,102555592,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p1p5.mat
rate_pareto,id,40,1310720,65536,1048576,1,0.062499046325683594,540,0,0.3333333333333333,0.3333333333333333,120.0,0.16934940079072802,0.0003136100014643111,540,2,2500,0,0.0,0,0.001474463690359561,4.444444444444444e-06,0.0,4.444444444444444e-06,0.0,1.037037037037037e-05,0,0,4.444444444444444e-06,0.0,1.037037037037037e-05,3,0,675000,675000,0.0,0.0,0.0011975752431599648,0.001197575243159965,0.001197575243159965,0.062499046325683594,2.6226083052777778,103060092,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p2p0.mat
