experiment,family,n_t,snr_db,frames,failed_frames,fn_count,failed_frames_without_fn,fer,fer_lower95,fer_upper95,source
threshold_nt40,exact-threshold,40,1.6,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p6.mat
threshold_nt40,exact-threshold,40,1.7000000000000002,2500,1,21,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p7.mat
threshold_nt40,exact-threshold,40,1.8,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p8.mat
threshold_nt40,exact-threshold,40,1.9,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p9.mat
threshold_nt40,exact-threshold,40,2,2500,2,86,0,0.0008,9.689839917819219e-05,0.002886856904276735,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p0.mat
threshold_nt40,exact-threshold,40,2.1,2500,1,134,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p1.mat
threshold_nt40,exact-threshold,40,2.2,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p2.mat
threshold_nt40,exact-threshold,40,2.3,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p3.mat
threshold_nt40,exact-threshold,40,2.4,2500,1,1,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p4.mat
threshold_nt40,exact-threshold,40,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p5.mat
threshold_nt40,exact-threshold,40,2.6,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p6.mat
waterfall,exact-threshold,42,0.5,2500,2500,928043,0,1.0,0.9985255363096405,1,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p0p5.mat
waterfall,exact-threshold,42,0.6,2500,2499,888821,0,0.9996,0.9977733793013243,0.9999898729280854,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p0p6.mat
waterfall,exact-threshold,42,0.7,2500,2280,526439,33,0.912,0.9002065796709032,0.9228174574146644,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p0p7.mat
waterfall,exact-threshold,42,0.8,2500,546,34199,50,0.2184,0.20234166239259543,0.23512059763432344,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p0p8.mat
waterfall,exact-threshold,42,0.9,2500,10,584,1,0.004,0.0019197710897091793,0.007343800722249135,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p0p9.mat
waterfall,exact-threshold,42,1,2500,1,383,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p0.mat
waterfall,exact-threshold,42,1.1,2500,1,372,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p1.mat
waterfall,exact-threshold,42,1.2000000000000002,2500,2,688,0,0.0008,9.689839917819219e-05,0.002886856904276735,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p2.mat
waterfall,exact-threshold,42,1.3,2500,1,329,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p3.mat
waterfall,exact-threshold,42,1.4,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p4.mat
waterfall,exact-threshold,42,1.5,2500,1,381,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p5.mat
waterfall,exact-threshold,42,1.6,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p6.mat
waterfall,exact-threshold,42,1.7000000000000002,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p7.mat
waterfall,exact-threshold,42,1.8,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p8.mat
waterfall,exact-threshold,42,1.9,2500,2,13,0,0.0008,9.689839917819219e-05,0.002886856904276735,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p9.mat
waterfall,exact-threshold,42,2,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p0.mat
waterfall,exact-threshold,42,2.1,2500,2,724,0,0.0008,9.689839917819219e-05,0.002886856904276735,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p1.mat
waterfall,exact-threshold,42,2.2,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p2.mat
waterfall,exact-threshold,42,2.3,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p3.mat
waterfall,exact-threshold,42,2.4,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p4.mat
waterfall,exact-threshold,42,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p5.mat
waterfall,exact-threshold,42,2.6,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p6.mat
waterfall,id,40,0.5,2500,2500,983778,0,1.0,0.9985255363096405,1,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p5.mat
