panel,family,sequence,n_t,E_2,rate,target_bound
fixed,id,E2=0.1,2468,0.1,0.40416091032380447,5.079220537709584e-75
fixed,id,E2=0.1,2694,0.1,0.40385877287879085,7.989492034992986e-82
fixed,id,E2=0.1,2940,0.1,0.40357877565976996,3.141819817790545e-89
fixed,id,E2=0.1,3210,0.1,0.40331724535265095,2.3408381773460992e-97
fixed,id,E2=0.1,3502,0.1,0.40307651723827354,3.7957318013043235e-106
fixed,id,E2=0.1,3822,0.1,0.40285193931527413,8.837626784351476e-116
fixed,id,E2=0.1,4172,0.1,0.402642982608466,2.5720879157165404e-126
fixed,id,E2=0.1,4552,0.1,0.402449974701737,9.35720132735347e-138
fixed,id,E2=0.1,4968,0.1,0.40227021929513296,2.807360300298074e-150
fixed,id,E2=0.1,5422,0.1,0.402103395314983,6.04694962948613e-164
fixed,id,E2=0.1,5918,0.1,0.40194844440371646,7.086773720878665e-179
fixed,id,E2=0.1,6458,0.1,0.401805028139612,3.933949677613993e-195
fixed,id,E2=0.1,7050,0.1,0.40167140532513096,5.940911144672375e-213
fixed,id,E2=0.1,7694,0.1,0.40154789681755876,2.4407389743589566e-232
fixed,id,E2=0.1,8396,0.1,0.4014334786149705,1.7997643314594452e-253
fixed,id,E2=0.1,9162,0.1,0.40132737904906335,1.5715129807680731e-276
fixed,id,E2=0.1,10000,0.1,0.4012287712379549,9.332636185032189e-302
fixed,id,E2=0.01,24,0.01,0.6393687784976246,0.8467453123625271
fixed,id,E2=0.01,26,0.01,0.6323242781855891,0.8350879194283694
fixed,id,E2=0.01,28,0.01,0.6259742303849383,0.8235910172675731
fixed,id,E2=0.01,32,0.01,0.6149992137959452,0.8010698775896221
fixed,id,E2=0.01,34,0.01,0.6102193745200094,0.7900413118633771
fixed,id,E2=0.01,38,0.01,0.6017875088932011,0.7684375906440062
fixed,id,E2=0.01,40,0.01,0.5980482020443754,0.757858283255199
fixed,id,E2=0.01,44,0.01,0.5913507118437817,0.7371346086455506
fixed,id,E2=0.01,48,0.01,0.5855200509361101,0.7169776240079136
fixed,id,E2=0.01,52,0.01,0.5803930712003809,0.6973718331752027
fixed,id,E2=0.01,58,0.01,0.5737582930011583,0.668963777393056
fixed,id,E2=0.01,62,0.01,0.569906392094525,0.6506709277209668
