source_file,source_kind,func_type,n,r,L,K,m,S,rate,exact_fixed_fpr,position_mc_fpr,uniform_joint_mc,proposition1_joint_average,theorem_bound
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_34.mat,single_fixed_message,id,34,17,131072,12416,211072,1,0.520216931865808,1.52587890625e-05,1.6e-05,NaN,7.62939453125e-06,0.0947189331054688
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_36.mat,single_fixed_message,id,36,18,262144,21618,389124,1,0.515829734405285,7.62939453125e-06,3e-06,NaN,3.814697265625e-06,0.0824623107910156
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_38.mat,single_fixed_message,id,38,19,524288,37640,715160,1,0.511787013712092,3.814697265625e-06,3e-06,NaN,1.9073486328125e-06,0.0717906951904297
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_40.mat,single_fixed_message,id,40,20,1048576,65536,1310720,1,0.508048202372184,0,0,NaN,9.5367431640625e-07,0.0624990463256836
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_4.mat,uniform_message_position_mc,id,4,2,4,3,6,1,0.646240625180289,NaN,NaN,0.234201,0.234375,0.5
/Users/yangshuo/Git/ID_RS_code/results_temp/id_E2_0.10/result_n_4.mat,uniform_message_position_mc,id,4,2,4,3,6,1,0.646240625180289,NaN,NaN,0.234014,0.234375,0.5
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_6.mat,uniform_message_position_mc,id,6,3,8,5,15,1,0.65114843260142,NaN,NaN,0.125076,0.124969482421875,0.5
/Users/yangshuo/Git/ID_RS_code/results_temp/id_E2_0.10/result_n_6.mat,uniform_message_position_mc,id,6,3,8,5,15,1,0.65114843260142,NaN,NaN,0.125039,0.124969482421875,0.5
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_8.mat,uniform_message_position_mc,id,8,4,16,9,36,1,0.646240625180289,NaN,NaN,0.06248404,0.0624999999854481,0.5
/Users/yangshuo/Git/ID_RS_code/results_temp/id_E2_0.10/result_n_8.mat,uniform_message_position_mc,id,8,4,16,9,36,1,0.646240625180289,NaN,NaN,0.0624609,0.0624999999854481,0.5
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_10.mat,uniform_message_position_mc,id,10,5,32,16,80,1,0.632192809488736,NaN,NaN,0.03125479,0.03125,0.46875
/Users/yangshuo/Git/ID_RS_code/results_temp/id_E2_0.10/result_n_10.mat,uniform_message_position_mc,id,10,5,32,16,80,1,0.632192809488736,NaN,NaN,0.03120948,0.03125,0.46875
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_12.mat,uniform_message_position_mc,id,12,6,64,27,162,1,0.611654166907052,NaN,NaN,0.01563142,0.015625,0.40625
/Users/yangshuo/Git/ID_RS_code/results_temp/id_E2_0.10/result_n_12.mat,uniform_message_position_mc,id,12,6,64,27,162,1,0.611654166907052,NaN,NaN,0.01558601,0.015625,0.40625
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_14.mat,uniform_message_position_mc,id,14,7,128,48,336,1,0.599451244484197,NaN,NaN,0.00782908,0.0078125,0.3671875
/Users/yangshuo/Git/ID_RS_code/results_temp/id_E2_0.10/result_n_14.mat,uniform_message_position_mc,id,14,7,128,48,336,1,0.599451244484197,NaN,NaN,0.00781907,0.0078125,0.3671875
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_16.mat,uniform_message_position_mc,id,16,8,256,84,672,1,0.587019838923672,NaN,NaN,0.00390052,0.00390625,0.32421875
/Users/yangshuo/Git/ID_RS_code/results_temp/id_E2_0.10/result_n_16.mat,uniform_message_position_mc,id,16,8,256,84,672,1,0.587019838923672,NaN,NaN,0.00390926,0.00390625,0.32421875
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_18.mat,uniform_message_position_mc,id,18,9,512,147,1323,1,0.576088741459927,NaN,NaN,0.00194806,0.001953125,0.28515625
/Users/yangshuo/Git/ID_RS_code/results_temp/id_E2_0.10/result_n_18.mat,uniform_message_position_mc,id,18,9,512,147,1323,1,0.576088741459927,NaN,NaN,0.00195318,0.001953125,0.28515625
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_20.mat,uniform_message_position_mc,id,20,10,1024,256,2560,1,0.566096404744368,NaN,NaN,0.00097303,0.0009765625,0.2490234375
/Users/yangshuo/Git/ID_RS_code/results_temp/id_E2_0.10/result_n_20.mat,uniform_message_position_mc,id,20,10,1024,256,2560,1,0.566096404744368,NaN,NaN,0.00097887,0.0009765625,0.2490234375
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_22.mat,uniform_message_position_mc,id,22,11,2048,445,4895,1,0.557140597476866,NaN,NaN,0.00048955,0.00048828125,0.216796875
/Users/yangshuo/Git/ID_RS_code/results/id_E2_0.10/result_n_24.mat,uniform_message_position_mc,id,24,12,4096,776,9312,1,0.549369805954512,NaN,NaN,0.00024932,0.000244140625,0.189208984375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_14.mat,single_fixed_message,rank,14,7,128,2,14,21,0.271953923004115,0.15625,0.156267,NaN,0.16156005859375,0.1640625
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_16.mat,single_fixed_message,rank,16,8,256,4,32,21,0.3125,0.08203125,0.082095,NaN,0.0817260693293065,0.24609375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_18.mat,single_fixed_message,rank,18,9,512,7,63,21,0.332071106861106,0.064453125,0.064582,NaN,0.0409393310546875,0.24609375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_20.mat,single_fixed_message,rank,20,10,1024,12,120,21,0.345344529780426,0.0185546875,0.018633,NaN,0.0204887390136719,0.2255859375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_22.mat,single_fixed_message,rank,22,11,2048,21,231,21,0.35689768370073,0.0107421875,0.010586,NaN,0.010249137878418,0.205078125
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_24.mat,single_fixed_message,rank,24,12,4096,36,432,21,0.364786979256811,0.003662109375,0.003612,NaN,0.00512576103210449,0.179443359375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_26.mat,single_fixed_message,rank,26,13,8192,64,832,21,0.373093835313119,0.0025634765625,0.002517,NaN,0.00256317853927612,0.1614990234375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_28.mat,single_fixed_message,rank,28,14,16384,112,1568,21,0.379096780146972,0.00079345703125,0.000815,NaN,0.00128166377544403,0.14227294921875
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_30.mat,single_fixed_message,rank,30,15,32768,195,2925,21,0.383807363645271,0.000518798828125,0.000517,NaN,0.000640850514173508,0.12432861328125
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_32.mat,single_fixed_message,rank,32,16,65536,339,5424,21,0.387660670723011,0.000396728515625,0.000427,NaN,0.000320429913699627,0.108306884765625
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_34.mat,single_fixed_message,rank,34,17,131072,591,10047,21,0.391014034159643,0.00016021728515625,0.000164,NaN,0.000160216121003032,0.0945281982421875
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_36.mat,single_fixed_message,rank,36,18,262144,1029,18522,21,0.393804229676008,8.392333984375e-05,7.9e-05,NaN,8.01083515398204e-05,0.0823516845703125
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_38.mat,single_fixed_message,rank,38,19,524288,1792,34048,21,0.396191643039505,3.62396240234375e-05,4e-05,NaN,4.00542485294864e-05,0.0717372894287109
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_rank_E2_0.10/fixed_msg_result_n_40.mat,single_fixed_message,rank,40,20,1048576,3120,62400,21,0.398231460215924,2.19345092773438e-05,2.6e-05,NaN,2.00271424546372e-05,0.062464714050293
/Users/yangshuo/Git/ID_RS_code/results/rank_E2_0.10/result_n_14.mat,uniform_message_position_mc,rank,14,7,128,2,14,21,0.271953923004115,NaN,NaN,0.162586,0.16278076171875,0.1640625
/Users/yangshuo/Git/ID_RS_code/results/rank_E2_0.10/result_n_16.mat,uniform_message_position_mc,rank,16,8,256,4,32,21,0.3125,NaN,NaN,0.08201629,0.0820312451105565,0.24609375
/Users/yangshuo/Git/ID_RS_code/results/rank_E2_0.10/result_n_18.mat,uniform_message_position_mc,rank,18,9,512,7,63,21,0.332071106861106,NaN,NaN,0.04098607,0.041015625,0.24609375
/Users/yangshuo/Git/ID_RS_code/results/rank_E2_0.10/result_n_20.mat,uniform_message_position_mc,rank,20,10,1024,12,120,21,0.345344529780426,NaN,NaN,0.02048911,0.0205078125,0.2255859375
/Users/yangshuo/Git/ID_RS_code/results/rank_E2_0.10/result_n_22.mat,uniform_message_position_mc,rank,22,11,2048,21,231,21,0.35689768370073,NaN,NaN,0.01023677,0.01025390625,0.205078125
/Users/yangshuo/Git/ID_RS_code/results/rank_E2_0.10/result_n_24.mat,uniform_message_position_mc,rank,24,12,4096,36,432,21,0.364786979256811,NaN,NaN,0.00512886,0.005126953125,0.179443359375
/Users/yangshuo/Git/ID_RS_code/results/rank_E2_0.10/result_n_26.mat,uniform_message_position_mc,rank,26,13,8192,64,832,21,0.373093835313119,NaN,NaN,0.00256361,0.0025634765625,0.1614990234375
/Users/yangshuo/Git/ID_RS_code/results/rank_E2_0.10/result_n_28.mat,uniform_message_position_mc,rank,28,14,16384,112,1568,21,0.379096780146972,NaN,NaN,0.00127581,0.00128173828125,0.14227294921875
/Users/yangshuo/Git/ID_RS_code/results/rank_E2_0.10/result_n_30.mat,uniform_message_position_mc,rank,30,15,32768,195,2925,21,0.383807363645271,NaN,NaN,0.00063979,0.000640869140625,0.12432861328125
